Site,Observed,Predicted
2982,17,16.737200582704055
2983,7,16.499000896026086
2984,12,16.290178338027136
2985,14,16.427330656143095
2986,20,16.371363653151246
2987,25,16.56076144880801
2993,27,18.23343710480274
2994,4,18.296907986638317
2995,14,18.22704480479031
2996,12,18.365949124652804
2997,27,17.90485140143227
2998,15,18.27843876825975
2999,9,18.43507835867079
3000,14,18.338844292953258
3001,15,16.66617310914913
3002,13,16.968181327482807
3003,1,16.941246254206305
3004,15,16.76968467254844
3005,20,17.211961021207113
3006,15,16.809039176399185
3007,13,18.03540005507175
3008,16,17.577500179209746
3021,16,19.17553664629297
3022,3,18.929788596970432
3023,9,19.049646751211455
3024,5,17.811796784422786
3025,1,17.456863723315948
3026,17,17.591353337132656
3048,11,18.45700023462195
3049,4,18.584383321339942
3050,9,17.73492242076525
3051,20,17.603138433795426
3052,14,18.05320337855178
3058,6,18.70514931232758
3059,21,18.076299378170173
3060,7,18.274124541307604
3061,10,18.59974121920035
3062,16,18.764929250435568
3063,13,18.978222720178078
3086,4,18.19473890993915
3087,8,18.285425850141863
3088,7,18.087890686253488
3089,19,18.32701257862627
3090,10,18.069447028918905
3091,10,18.155393635653176
3092,10,18.267493934715542
